Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer,Remark
25.38578878,0.398843879,182.0611454,7.049864303,71.22304264,135.1388053,147.4572035,0.800911123,Neutral Soil,papaya,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
18.79026727,0.457291727,38.39551897,6.313310604,52.73819251,42.25293593,52.56910836,0.894318288,Acidic Soil,Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
22.3923192,0.454832449,35.94795167,7.346747577,56.45792851,117.9922622,57.04252753,2.303909473,Neutral Soil,Lentil,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
25.09800681,0.788011695,105.4736302,7.475504812,66.27272794,87.9307223,88.52588569,0.947780768,Loamy Soil,orange,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
27.9353973,0.675127251,19.52871105,6.1169721,53.83309153,67.54790171,39.48688465,0.626450559,Acidic Soil,muskmelon,Muriate of Potash,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
22.72785734,0.568001599,173.0159825,6.376981537,70.44605584,70.6365231,82.89793714,0.71061711,Acidic Soil,Coffee,Compost,Enhances organic matter and improves soil structure. Prefer this for low-carbon soils to boost soil health naturally.
53.52565381,0.41484102,109.8495752,5.693671813,65.81541653,177.3144812,52.63923447,0.680545798,Acidic Soil,Adzuki Beans,Lime,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
23.08633531,0.705309206,126.4843191,6.764193101,86.96971052,82.76814038,71.02778741,1.539033783,Peaty Soil,apple,Organic Fertilizer,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
28.82500607,0.421878763,64.94950541,3.900519193,53.4183975,25.29310474,38.75595119,1.561231699,Acidic Soil,Moth Beans,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
29.93405103,0.524299211,127.7534796,4.524703721,64.66153045,35.65083919,52.40957694,0.596421067,Acidic Soil,Pigeon Peas,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
23.66673314,0.467787651,46.68297191,6.719286409,55.2388212,144.2774024,75.53601481,1.310071191,Neutral Soil,watermelon,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
21.81234567,0.78101234,110.56789012,6.20456789,68.45678901,62.45678901,48.45678901,1.65456789,Loamy Soil,tomatoes,Balanced NPK Fertilizer,"""Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."""
32.48684907,0.42949924,87.78056613,6.295652104,59.12956182,43.54395518,65.25710505,1.835545022,Acidic Soil,wheat,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
26.79708983,0.599822183,66.85813614,5.885700265,58.29995266,44.58127223,46.48567856,2.534680727,Acidic Soil,Tobacco,DAP,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
20.74035852,0.688986069,56.05693519,6.775553944,51.40906941,50.85666606,56.862247,2.25167587,Loamy Soil,Peas,Water Retaining Fertilizer,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
